dane_code,year,poblacion_5_16,tasa_matricula_5_16,cobertura_neta,cobertura_bruta,desercion,aprobacion
19418,2023,5450.0,86.33,86.33,104.94,3.18,86.99
19450,2019,4189.0,62.54,62.54,70.57,2.46,87.77
19450,2020,4144.0,62.5,62.5,69.33,3.26,91.14
19450,2021,4105.0,62.78,62.78,68.87,5.02,87.62
19450,2022,4212.0,59.33,59.33,64.46,7.15,86.55
19450,2023,4172.0,56.4,56.4,60.64,5.06,87.98
19455,2019,6071.0,96.1,96.1,117.89,1.91,89.33
19455,2020,6032.0,95.94,95.89,105.44,1.34,90.11
19455,2021,5989.0,96.11,96.09,104.69,3.84,88.45
19455,2022,5960.0,93.64,93.64,105.45,3.98,86.49
19455,2023,5941.0,91.18,91.18,102.27,2.97,89.15
19473,2019,9026.0,74.78,74.78,84.36,3.75,88.12
19473,2020,9012.0,68.05,68.05,73.99,1.19,93.61
19473,2021,8965.0,73.13,73.13,79.31,4.35,83.71
19473,2022,8947.0,74.85,74.85,83.03,5.59,85.8
19473,2023,8933.0,73.77,73.75,82.38,3.97,89.43
19513,2019,1914.0,85.89,85.89,177.12,1.94,96.35
19513,2020,1886.0,82.56,82.56,95.92,0.7,99.3
19513,2021,1874.0,84.9,84.9,94.29,1.98,91.91
19513,2022,1882.0,83.1,83.1,93.73,2.27,94.84
19513,2023,1878.0,79.07,79.07,86.74,7.8,82.93
19517,2019,12644.0,66.55,66.55,74.2,3.68,84.21
19517,2020,12605.0,68.23,68.23,74.07,2.52,85.44
19517,2021,12573.0,71.73,71.73,78.61,3.93,81.9
19517,2022,12783.0,71.56,71.56,78.06,5.2,81.89
19517,2023,12794.0,71.64,71.64,77.87,3.94,83.16
19532,2019,7362.0,82.27,82.27,101.21,3.86,89.2
19532,2020,7294.0,81.92,81.92,92.39,1.97,88.45
19532,2021,7236.0,84.36,84.34,97.22,3.68,81.24
19532,2022,7197.0,84.77,84.77,96.05,6.28,87.57
19532,2023,7165.0,80.99,80.99,93.2,4.42,88.81
19533,2019,2312.0,78.89,78.89,83.87,5.72,82.16
19533,2020,2345.0,76.46,76.46,81.66,2.87,81.93
19533,2021,2335.0,75.07,75.07,80.09,5.61,81.87
19533,2022,2350.0,78.85,78.85,83.45,6.27,88.73
19533,2023,2356.0,76.02,76.02,80.65,5.05,90.0
19548,2019,8063.0,87.59,87.57,100.66,2.61,88.29
19548,2020,8014.0,90.69,90.69,102.71,0.84,85.12
19548,2021,7955.0,91.06,91.06,103.17,2.88,85.3
19548,2022,7911.0,90.97,90.97,103.39,2.67,89.37
19548,2023,7872.0,89.46,89.46,102.03,3.61,89.43
19573,2019,8069.0,107.42,107.42,127.96,3.06,89.6
19573,2020,7958.0,108.46,108.44,122.41,0.54,93.76
19573,2021,791.0,109.18,109.18,120.56,1.74,95.17
19573,2022,7971.0,106.08,106.08,118.58,3.19,90.07
19573,2023,7950.0,108.13,108.1,118.99,3.81,89.12
19585,2019,3687.0,68.1,68.1,78.36,3.22,90.52
19585,2020,3657.0,67.43,67.43,74.95,1.35,92.66
19585,2021,3632.0,71.61,71.61,79.68,3.46,87.51
19585,2022,3658.0,69.87,69.87,77.01,4.16,89.61
19585,2023,3649.0,70.49,70.49,76.54,3.84,88.14
19622,2019,1865.0,82.73,82.73,123.54,1.67,92.68
19622,2020,1834.0,83.26,83.26,91.28,2.39,93.36
19622,2021,1817.0,84.42,84.42,92.24,1.85,89.08
19622,2022,1827.0,79.31,79.31,89.11,1.84,91.79
19622,2023,1813.0,73.41,73.41,82.74,3.04,93.15
19693,2019,1944.0,62.81,62.81,70.27,2.77,90.2
19693,2020,1917.0,60.67,60.67,67.08,2.96,93.07
