year_of_incident,dept_mpio_code,victim_fisc_amenazas,victim_fisc_delitos_sexuales,victim_fisc_desaparicion_forzada,victim_fisc_desplazamiento,victim_fisc_estafa,victim_fisc_extorsion,victim_fisc_hurto,victim_fisc_personas_bienes_dih,victim_fisc_reclutamiento_ilicito,victim_fisc_violencia_intrafamiliar,victim_fisc_corrupcion,victim_fisc_homicidios,victim_fisc_lesiones_personales,victim_fisc_secuestro,victim_fisc_otros_delitos
2020,19022,2.0,7.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,21.0,1.0,11.0,3.0,1.0,44.0
2020,19050,31.0,18.0,15.0,59.0,2.0,4.0,17.0,0.0,7.0,12.0,0.0,109.0,4.0,0.0,45.0
2020,19075,18.0,8.0,1.0,9.0,1.0,5.0,8.0,0.0,0.0,5.0,0.0,35.0,9.0,2.0,19.0
2020,19100,7.0,15.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,17.0,0.0,36.0,37.0,0.0,32.0
2020,19110,135.0,15.0,42.0,68.0,1.0,51.0,215.0,0.0,0.0,21.0,2.0,206.0,18.0,0.0,429.0
2020,19130,68.0,31.0,0.0,12.0,2.0,7.0,26.0,0.0,2.0,40.0,3.0,31.0,35.0,0.0,58.0
2020,19137,72.0,21.0,3.0,13.0,5.0,11.0,23.0,6.0,2.0,11.0,3.0,26.0,37.0,0.0,56.0
2020,19142,110.0,16.0,8.0,6.0,5.0,6.0,84.0,8.0,5.0,67.0,5.0,52.0,35.0,13.0,102.0
2020,19212,475.0,25.0,2.0,651.0,12.0,212.0,58.0,246.0,212.0,45.0,0.0,68.0,86.0,11.0,741.0
2020,19256,56.0,51.0,8.0,59.0,4.0,7.0,57.0,1.0,8.0,88.0,5.0,180.0,58.0,49.0,228.0
2020,19290,2.0,6.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0
2020,19300,26.0,12.0,1.0,16.0,10.0,0.0,139.0,15.0,0.0,49.0,1.0,29.0,76.0,1.0,281.0
2020,19318,11.0,18.0,8.0,12.0,4.0,2.0,4.0,0.0,5.0,14.0,2.0,19.0,15.0,3.0,27.0
2020,19355,40.0,27.0,0.0,5.0,3.0,6.0,18.0,0.0,4.0,35.0,3.0,14.0,19.0,0.0,39.0
2020,19364,101.0,6.0,2.0,7.0,7.0,7.0,6.0,3.0,0.0,10.0,0.0,5.0,3.0,1.0,34.0
2020,19392,13.0,9.0,1.0,2.0,3.0,3.0,17.0,0.0,0.0,14.0,1.0,13.0,13.0,1.0,34.0
2020,19397,26.0,4.0,0.0,8.0,4.0,5.0,18.0,0.0,0.0,27.0,0.0,6.0,35.0,0.0,132.0
2020,19418,3.0,6.0,6.0,37.0,0.0,0.0,4.0,0.0,2.0,2.0,2.0,14.0,3.0,1.0,4.0
2020,19450,24.0,11.0,2.0,4.0,2.0,7.0,30.0,0.0,0.0,23.0,2.0,48.0,19.0,0.0,46.0
2020,19455,231.0,14.0,2.0,39.0,14.0,60.0,82.0,35.0,15.0,43.0,3.0,176.0,63.0,163.0,788.0
2020,19473,25.0,22.0,2.0,11.0,1.0,4.0,21.0,3.0,1.0,17.0,1.0,25.0,16.0,0.0,40.0
