codigo_dane,ano,amenazas_casos_fiscalia,delitos_sexuales_casos_fiscalia,desaparicion_forzada_casos_fiscalia,desplazamiento_casos_fiscalia,estafa_casos_fiscalia,extorsion_casos_fiscalia,hurto_casos_fiscalia,personas_bienes_dih_casos_fiscalia,reclutamiento_ilicito_casos_fiscalia,violencia_intrafamiliar_casos_fiscalia,corrupcion_casos_fiscalia,homicidios_casos_fiscalia,lesiones_personales_casos_fiscalia,secuestro_casos_fiscalia,otros_delitos_casos_fiscalia
19785,2020,8,7,0,1,2,1,3,0,0,4,2,3,3,0,11
19785,2021,3,2,0,2,2,1,5,0,0,3,0,2,3,0,14
19785,2022,6,4,1,2,0,2,5,0,0,2,0,6,4,0,15
19785,2023,4,1,0,4,2,1,7,1,0,2,2,2,2,0,11
19807,2019,9,27,2,3,7,8,58,1,0,19,5,11,22,4,133
19807,2020,6,23,1,5,11,4,36,0,0,21,2,11,18,1,112
19807,2021,8,24,2,4,10,6,45,0,0,20,2,8,16,5,95
19807,2022,8,18,1,3,8,7,56,0,0,13,3,15,25,3,102
19807,2023,12,12,1,4,9,6,61,3,1,10,13,9,30,3,119
19809,2019,10,11,1,5,0,5,8,0,1,2,1,5,7,1,40
19809,2020,8,3,1,2,3,0,7,1,5,3,6,11,4,0,36
19809,2021,7,8,5,4,4,2,6,0,3,5,2,8,8,0,45
19809,2022,6,5,3,6,2,4,5,2,3,6,3,10,5,1,32
19809,2023,7,4,4,4,3,2,4,0,1,3,2,5,6,1,34
19821,2019,16,24,3,2,3,6,12,3,3,16,2,12,12,3,46
19821,2020,9,10,5,3,3,1,10,3,6,7,3,12,3,2,35
19821,2021,8,16,6,5,3,2,9,5,5,9,0,12,2,4,70
19821,2022,8,9,3,6,3,6,15,5,3,7,1,10,4,5,41
19821,2023,8,7,2,6,4,3,15,5,4,3,2,13,5,5,36
19824,2019,5,8,1,2,3,7,21,0,0,9,2,7,21,2,45
19824,2020,4,8,0,2,3,6,19,0,0,6,0,5,13,1,41
19824,2021,7,13,0,1,5,3,23,0,0,4,2,5,12,1,35
19824,2022,7,11,0,0,4,5,21,1,0,3,3,3,11,3,52
19824,2023,6,7,2,2,4,6,32,2,0,7,4,5,19,1,34
19845,2019,11,18,0,2,4,1,57,0,0,13,5,15,25,1,102
19845,2020,9,11,0,0,5,4,50,0,0,15,4,17,14,0,82
19845,2021,8,21,2,1,5,0,50,1,0,15,8,11,18,1,96
19845,2022,11,13,1,4,10,6,78,1,0,11,6,17,19,1,105
19845,2023,10,12,0,4,10,5,46,1,0,9,7,12,23,1,99
